stakeholder goal,unique phrases,interviewer goal,from stakeholder,unmatched phrase,total turns,multi-turn goal,type errors,from interviewer,total phrases
2,6,0,6,1,118,,,0,7
3,7,0,7,,118,,,0,7
0,3,3,0,,118,,,3,3
2,5,0,4,,118,1,,1,5
0,3,0,3,4,118,,,0,7
3,7,0,7,,118,,,0,7
2,4,0,3,2,118,1,,1,6
,,,,,118,,,,
,,,,,118,,,,
2,6,0,6,,118,,,0,6
,,,,,118,,2,,
3,5,0,5,,118,,,0,5
2,5,0,5,,118,,,0,5
3,5,0,5,,118,,,0,5
4,8,1,6,,118,,,2,8
0,2,2,0,,118,,,2,2
2,3,0,3,,118,,,0,3
3,4,0,6,2,118,,,0,7
2,7,0,7,,118,,,0,7
1,3,0,3,1,118,,,0,4
2,5,0,5,,118,,,0,5
2,5,0,5,1,118,,,0,6
1,4,1,3,1,118,,,1,5
3,3,0,3,1,118,,,0,4
3,6,0,6,1,118,,,0,7
4,5,0,5,,118,,,0,5
,,,,,118,,,,
,,,,,118,,,,
,,,,,118,,,,
,,,,,118,,,,
,,,,,118,,,,
3,4,0,4,,46,,,0,4
3,3,0,3,3,46,,,0,6
1,8,0,8,2,46,,,0,10
4,5,0,5,,46,,,0,5
2,4,0,4,,46,,,0,4
2,3,0,3,1,46,,,0,4
,,,,,46,,2,,
2,2,0,2,,46,,,0,2
4,7,0,7,,46,,,0,7
3,5,0,5,,46,,,0,5
,,,,,46,,2,,
2,2,0,2,,46,,,0,2
2,2,0,2,,46,,,0,2
0,4,0,4,3,46,,,0,7
0,1,0,1,2,46,,,0,3
4,6,0,6,,46,,,0,6
,,,,,46,,,,
,,,,,46,,,,
,,,,,46,,2,,
,,,,,46,,2,,
2,3,0,3,,46,,,0,3
,,,,,46,,2,,
,,,,,46,,,,
3,9,0,9,,70,,,0,9
4,8,0,8,2,70,,,0,10
5,10,0,10,,70,,,0,10
2,12,0,12,1,70,,,0,13
3,6,0,6,,70,,,0,6
3,8,0,8,2,70,,,0,10
2,4,0,4,,70,,,0,4
2,3,0,3,,70,,,0,3
5,7,0,7,,70,,,0,7
5,8,0,8,1,70,,,0,9
8,17,0,17,,70,,,0,17
2,4,0,4,,70,,,0,4
5,10,0,10,1,70,,,0,11
3,7,0,7,,70,,,0,7
5,6,0,6,,70,,,0,6
3,6,0,6,,70,,,0,6
4,6,0,6,,70,,,0,6
2,4,0,4,,70,,,0,4
3,4,0,3,1,70,1,,1,5
4,8,0,8,2,70,,,0,10
4,6,0,6,,70,,,0,6
3,15,0,15,,70,,,0,15
3,6,0,6,,70,,,0,6
3,4,0,4,,70,,,0,4
1,6,0,6,3,70,,,0,9
1,4,0,4,1,70,,,0,5
3,6,0,6,1,70,,,0,7
,,,,,70,,,,
,,,,,70,,2,,
3,7,0,7,,70,,,0,7
3,4,0,4,,70,,,0,4
2,4,0,4,,70,,,0,4
,,,,,70,,,,
2,5,0,5,,70,,,0,5
,,,,,70,,,,
2,2,0,2,,114,,,0,2
3,3,0,3,1,114,,,0,4
4,4,0,4,,114,,,0,4
