total phrases,total turns,interviewer goal,goal mismatch,no phrases,unmatched phrase,multi-turn goal,unique phrases,from interviewer,from stakeholder,stakeholder goal
9,70,1,,,,1,9,1,8,4
12,70,1,,,,1,11,1,12,5
7,70,0,,,,,7,0,7,4
1,70,0,,,,,1,0,1,1
,70,,,,,,,,,
1,70,1,,,,,1,1,0,0
,70,,,,,,,,,
,70,,,,,,,,,
,70,0,1,1,,,,,,0
,111,,,,,,,,,
16,111,0,,,,,16,0,16,12
13,111,0,,,,,13,0,13,10
2,111,0,,,,,2,0,2,1
2,111,0,,,,,2,0,2,1
6,111,0,,,,,6,0,6,3
2,111,0,,,,,2,0,2,1
,111,,,,,,,,,
4,111,0,,,,,4,0,4,3
6,111,0,,,,,6,0,6,3
6,111,0,,,,,6,0,6,4
4,111,0,,,,,4,0,4,3
4,111,0,,,,,4,0,4,4
7,111,0,,,,,7,0,7,5
8,111,0,,,,,8,0,8,5
8,111,0,,,,,8,0,8,7
6,111,0,,,,,6,0,6,4
10,111,0,,,,,10,0,10,6
6,111,0,,,1,,5,0,5,2
2,111,0,,,1,,1,0,1,1
2,111,0,,,,,2,0,2,1
1,111,0,,,,,1,0,1,1
1,111,0,,,,,1,0,1,1
6,111,0,,,,,6,0,6,4
4,111,0,,,,,4,0,4,4
9,111,0,,,,1,9,1,8,5
2,111,0,,,,1,2,1,1,1
5,111,0,,,,,5,0,5,2
12,111,0,,,,,12,0,12,7
3,111,0,,,,,3,0,3,2
,111,,,,,,,,,
3,111,0,,,,,3,0,3,2
6,111,0,,,,,6,0,6,2
2,111,0,,,,,2,0,2,1
2,111,0,,,,,2,0,2,2
,111,,,,,,,,,
6,111,0,,,1,,5,0,5,4
10,111,0,,,1,,9,0,9,8
7,111,0,,,,,7,0,7,7
4,111,0,,,,,4,0,4,4
4,111,0,,,,,4,0,4,2
,111,,,,,,,,,
1,111,0,,,,,1,0,1,1
4,111,0,,,,,4,0,4,3
1,111,0,,,,,1,0,1,1
,111,,,,,,,,,
,111,,,,,,,,,
2,111,0,,,,,2,0,2,1
3,111,0,,,,,3,0,3,3
1,111,0,,,,,1,0,1,1
6,111,0,,,,,6,0,6,5
14,111,0,,,,,14,0,14,10
13,111,0,,,,,13,0,13,7
2,111,0,,,,,2,0,2,2
,111,,,,,,,,,
,111,,,,,,,,,
3,59,0,,,,,3,0,3,2
1,59,0,,,,,1,0,1,1
,59,,,,,,,,,
1,59,0,,,,,1,0,1,1
14,59,1,,,,2,12,2,14,5
7,59,0,,,,,7,0,7,4
6,59,0,,,,,6,0,6,3
9,59,0,,,,,9,0,9,7
5,59,0,,,,,5,0,5,4
6,59,0,,,,,6,0,6,5
7,59,0,,,,1,7,1,6,6
5,59,0,,,,,5,0,5,3
4,59,0,,,,,4,0,4,3
4,59,0,,,,,4,0,4,2
2,59,0,,,,,2,0,2,1
6,59,0,,,,,6,0,6,4
5,59,0,,,,,5,0,5,3
4,59,0,,,,,4,0,4,2
5,59,0,,,,,5,0,5,2
8,59,0,,,,,8,0,8,4
5,59,0,,,,,5,0,5,1
8,59,0,,,,,8,0,8,5
4,59,0,,,,,4,0,4,3
2,59,0,,,,,2,0,2,1
,59,,,,,,,,,
7,59,0,,,,,7,0,7,4
10,59,0,,,,,10,0,10,5
6,59,0,,,,,6,0,6,3
,59,,,,,,,,,
,59,,,,,,,,,
,111,,,,,,,,,
,111,,,,,,,,,
4,111,0,,,,,4,0,4,4
2,111,0,,,,,2,0,2,1
,111,,,,,,,,,
2,111,0,,,,,2,0,2,1
4,111,0,,,,,4,0,4,4
8,111,1,,,,1,8,1,7,4
2,111,0,,,,,2,0,2,1
2,111,0,,,,,2,0,2,2
8,111,0,,,,,8,0,8,4
10,111,0,,,,,10,0,10,4
5,111,0,,,1,,4,0,4,1
2,111,0,,,,,2,0,2,1
4,111,1,,,,1,4,1,3,2
3,111,0,,,,,3,0,3,3
4,111,1,,,,1,4,1,3,1
12,111,1,,,1,1,11,2,9,6
1,111,0,,,,,1,0,1,1
5,111,1,,,,1,5,2,3,2
2,111,0,,,,,2,0,2,1
4,111,0,,,,,4,0,4,4
4,111,0,,,,,4,0,4,3
,111,,,,,,,,,
4,111,0,,,,,4,0,4,4
10,111,0,,,1,,9,0,9,8
9,111,0,,,,,9,0,9,9
2,111,0,,,,,2,0,2,1
3,111,0,,,,,3,0,3,3
8,111,0,,,1,,7,0,7,5
,111,,,,,,,,,
2,111,1,,,,1,2,1,1,0
1,111,0,,,,,1,0,1,1
6,111,0,,,,,6,0,6,4
8,111,0,,,,1,8,1,7,4
3,111,0,,,,,3,0,3,1
6,111,0,,,,,6,0,6,3
10,111,1,,,,1,10,1,9,5
2,111,0,,,,1,2,1,1,1
12,111,0,,,,,12,0,12,9
18,111,0,,,,,17,0,19,13
14,111,0,,,,,14,0,14,6
9,111,0,,,,,9,0,9,4
8,111,0,,,,,7,0,9,4
,111,,,,,,,,,
3,111,0,,,,,3,0,3,1
4,111,0,,,,1,4,1,3,2
7,111,0,,,,,7,0,7,5
7,111,0,,,,,7,0,7,4
8,111,0,,,,,8,0,8,6
8,111,0,,,,,8,0,8,5
1,111,0,,,,,1,0,1,1
4,111,0,,,,,4,0,4,3
4,111,0,,,1,,3,0,3,1
,111,,,,,,,,,
,111,,,,,,,,,
,86,,,,,,,,,
,86,,,,,,,,,
,86,,,,,,,,,
,86,,,,,,,,,
,86,,,,,,,,,
,86,,,,,,,,,
,86,,,,,,,,,
,86,0,1,1,,,,,,0
3,86,0,,,,,3,0,3,2
,86,,,,,,,,,
3,86,0,,,,,3,0,3,3
6,86,0,,,,,6,0,6,3
12,86,0,,,,,12,0,12,9
12,86,0,,,,,11,0,13,6
5,86,0,,,,,5,0,5,3
8,86,0,,,,,8,0,8,4
14,86,0,,,,,14,0,14,9
1,86,0,,,,,1,0,1,1
8,86,0,,,,,8,0,8,4
7,86,0,,,,,7,0,7,5
4,86,0,,,,,4,0,4,4
6,86,0,,,,,5,0,7,5
6,86,0,,,,,6,0,6,4
6,86,0,,,,,6,0,6,3
6,86,0,,,,,6,0,6,3
1,86,0,,,,,1,0,1,1
6,86,0,,,,,6,0,6,4
8,86,0,,,,,8,0,8,8
1,86,0,,,,,1,0,1,1
4,86,0,,,,1,4,1,3,3
,86,,,,,,,,,
,86,,,,,,,,,
5,86,0,,,,,5,0,5,2
8,86,0,,,,,8,0,8,5
6,86,0,,,,,6,0,6,6
2,86,0,,,,,2,0,2,1
2,86,0,,,,,2,0,2,1
,86,,,,,,,,,
8,86,0,,,,,8,0,8,5
1,86,0,,,,,1,0,1,1
,86,,,,,,,,,
,86,,,,,,,,,
,86,,,,,,,,,
,56,,,,,,,,,
3,56,0,,,,,3,0,3,1
1,56,0,,,1,,,0,0,0
4,56,0,,,,,4,0,4,2
8,56,0,,,,1,8,1,7,2
6,56,0,,,,,6,0,6,4
7,56,0,,,,,7,0,7,5
15,56,0,,,,,15,0,15,9
18,56,1,,,,1,18,1,17,11
10,56,0,,,,,10,0,10,3
7,56,0,,,,1,7,1,6,4
2,56,0,,,,,2,0,2,1
5,56,0,,,,,5,0,5,3
9,56,0,,,,,9,0,9,4
6,56,0,,,,,6,0,6,3
6,56,1,,,3,,3,1,2,1
2,56,0,,,,,2,0,2,1
2,56,0,,,1,,1,0,1,1
12,56,1,,,,1,12,1,11,4
2,56,1,,,,1,2,1,1,0
2,56,0,,,,,2,0,2,1
1,56,0,,,,,1,0,1,1
6,56,0,,,1,,5,0,5,2
4,56,0,,,,,4,0,4,1
2,56,0,,,,,2,0,2,1
2,56,0,,,,,2,0,2,2
3,56,0,,,,,3,0,3,2
2,56,0,,,,,2,0,2,2
1,118,0,,,,,1,0,1,1
3,118,0,,,,,3,0,3,2
2,118,0,,,,,2,0,2,2
4,118,0,,,,,4,0,4,4
9,118,0,,,1,,8,0,8,5
7,118,1,,,,1,7,1,6,2
6,118,0,,,,,6,0,6,4
1,118,0,,,,,1,0,1,1
15,118,0,,,,,15,0,15,8
17,118,0,,,3,,14,0,14,5
8,118,0,,,,1,8,1,7,5
5,118,0,,,,,5,0,5,4
7,118,0,,,,,7,0,7,5
6,118,0,,,1,,5,0,5,4
18,118,0,,,,,18,0,18,12
18,118,0,,,,1,18,1,17,9
5,118,0,,,,,5,0,5,3
5,118,0,,,,,5,0,5,3
4,118,0,,,,,4,0,4,2
2,118,0,,,1,,1,0,1,1
10,118,0,,,3,,7,1,6,4
7,118,0,,,,,7,0,7,5
8,118,0,,,,,8,0,8,6
5,118,0,,,,,5,0,5,4
5,118,0,,,,,5,0,5,4
7,118,0,,,,,7,0,7,5
9,118,0,,,,,9,0,9,5
8,118,0,,,1,,7,0,7,3
4,118,0,,,,,4,0,4,1
9,118,0,,,1,,8,0,8,6
1,118,0,,,,,1,0,1,1
6,118,0,,,,,6,0,6,2
10,118,0,,,1,,9,0,9,4
2,118,0,,,,,2,0,2,1
5,118,0,,,,1,5,1,4,4
5,118,2,,,,2,5,2,3,1
,118,0,1,1,,,,,,0
,118,,,,,,,,,
,118,0,1,1,,,,,,0
1,118,0,,,,,1,0,1,1
2,118,0,,,,,2,0,2,1
7,118,0,,,,,7,0,7,5
8,118,0,,,,2,8,2,6,5
2,118,2,,,,,2,2,0,0
2,118,0,,,,,2,0,2,2
7,118,0,,,,,7,0,7,4
7,118,0,,,,,7,0,7,5
6,118,0,,,,,6,0,6,3
7,118,0,,,,1,7,1,6,4
5,118,0,,,,,5,0,5,5
4,118,1,,,,,4,1,3,2
4,118,0,,,1,,3,0,3,3
1,118,0,,,1,,,0,0,0
1,118,0,,,,,1,0,1,1
3,118,1,,,,1,3,2,1,1
2,118,0,,,,1,2,1,1,1
,118,,,,,,,,,
,118,,,,,,,,,
,118,,,,,,,,,
7,46,0,,,,,7,0,7,6
5,46,0,,,,,5,0,5,4
8,46,0,,,,1,8,1,7,5
5,46,0,,,,,5,0,5,3
2,46,0,,,,,2,0,2,1
4,46,0,,,,,4,0,4,2
4,46,0,,,1,1,3,1,2,1
3,46,0,,,,,3,0,3,3
1,46,0,,,,,1,0,1,1
4,46,0,,,,,4,0,4,4
4,46,0,,,,,4,0,4,2
4,46,0,3,,,,4,0,4,3
5,46,0,,,,,5,0,5,3
7,46,0,,,,,7,0,7,4
4,46,0,,,,,4,0,4,1
2,46,0,,,,,2,0,2,1
3,46,0,,,,,3,0,3,1
,46,,,,,,,,,
1,46,0,,,,,1,0,1,1
1,46,0,,,,,1,0,1,1
2,46,0,,,,,2,0,2,1
5,46,0,,,2,,3,0,3,1
,46,,,,,,,,,
13,70,0,,,,,13,0,13,7
15,70,0,,,,,15,0,15,10
11,70,0,,,,,11,0,11,8
12,70,0,,,,,12,0,12,6
1,70,0,,,,,1,0,1,1
15,70,0,,,,,15,0,15,13
6,70,0,,,,,6,0,6,3
5,70,0,,,,,5,0,5,3
1,70,0,,,,,1,0,1,1
26,70,0,,,,,26,0,26,21
24,70,0,,,,,24,0,24,10
8,70,0,,,,,8,0,8,4
5,70,0,,,,,5,0,5,4
9,70,0,,,,2,9,2,7,4
4,70,0,,,,2,4,2,2,2
8,70,0,,,1,,7,0,7,3
16,70,0,,,,2,16,2,14,6
8,70,0,,,,,8,0,8,4
3,70,0,,,,,3,0,3,1
7,70,0,,,1,,6,0,6,3
13,70,0,,,1,,12,0,12,4
8,70,0,,,,,8,0,8,6
2,70,0,,,,,2,0,2,1
13,70,0,,,,,12,0,14,6
11,70,0,,,,,11,0,11,5
6,70,0,,,,,6,0,6,4
,70,0,1,1,,,,,,0
,70,,,,,,,,,
5,70,0,,,,,5,0,5,3
5,70,0,,,,,5,0,5,2
3,70,0,,,,,3,0,3,2
4,70,0,,,1,,3,0,3,1
5,70,0,,,,,5,0,5,2
2,70,0,,,,,2,0,2,1
,70,,,,,,,,,
2,114,0,,,,,2,0,2,2
1,114,0,,,,,1,0,1,1
1,114,0,,,,,1,0,1,1
10,114,0,,,,,10,0,10,7
14,114,0,,,,,14,0,14,9
12,114,0,,,,,12,0,12,11
2,114,0,,,,,2,0,2,1
2,114,0,,,,,2,0,2,2
1,114,0,,,,,1,0,1,1
5,114,0,,,,,5,0,5,1
9,114,2,,,,2,9,2,7,4
6,114,0,,,,,6,0,6,2
7,114,0,,,,1,7,1,6,3
,114,,,,,,,,,
,114,,,,,,,,,
3,114,0,,,,,3,0,3,3
5,114,0,,,,,5,0,5,4
5,114,0,,,,,5,0,5,4
6,114,0,,,,,6,0,6,5
9,114,0,,,,,9,0,9,6
3,114,0,,,,,3,0,3,2
1,114,0,,,,,1,0,1,1
1,114,0,,,,,1,0,1,1
1,114,0,,,,,1,0,1,1
,114,,,,,,,,,
,114,,,,,,,,,
5,114,0,,,,1,5,1,4,3
6,114,0,,,,,6,0,6,2
6,114,0,,,,,6,0,6,6
3,114,0,,,,,3,0,3,2
,114,,,,,,,,,
3,114,0,,,,,3,0,3,2
6,114,0,,,1,1,5,1,4,3
7,114,0,,,,1,7,2,5,4
5,114,0,,,,,5,0,5,4
9,114,0,,,,1,9,1,8,4
13,114,1,,,,3,13,4,9,5
1,114,0,,,,,1,0,1,1
3,114,0,,,1,,2,0,2,1
